identifier 0
constant 1
char 2
int 3
float 4
bool 5
string 6
for 7
while 8
if 9
else 10
; 11
, 12
. 13
+ 14
- 15
* 16
( 17
) 18
[ 19
] 20
{ 21
} 22
< 23
> 24
= 25
! 26
/ 27
cin>> 28
cout<< 29
return 30
main 31
